id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#FF0000,#00FF00,#7d93a6,314,2,NA       
57113b7f16c4b,twoColorsObj,#FF0000,#00FF00,#808000,381,4,NA       
