id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710d28fec2d1,30,Male,32,no,twoColorsObj,#FF0000,#00FF00,#0000FF,348,1,Navy-Blue,0.39,0.39,0.41,0.37,0.4,0.4
5711106ab212a,33,Male,32,no,twoColorsObj,#FF0000,#00FF00,#808000,540,2,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5711148c11035,35,Male,22,no,twoColorsObj,#FF0000,#00FF00,#8080FF,0,2,NA       ,0.29,0.29,0.3,0.26,0.3,0.3
571153ca15566,32,Male,32,no,twoColorsObj,#FF0000,#00FF00,#D7A700,7,3,NA       ,0.08,0.08,0.06,0.03,0.08,0.06
571252e6d2e70,31,Female,32,no,twoColorsObj,#FF0000,#00FF00,#D7A700,18,4,NA       ,0.08,0.08,0.06,0.03,0.08,0.06
57153eb9b4bed,35,Female,31,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,320,3,NA       ,0.07,0.07,0.05,0.02,0.07,0.06
57190633f233f,30,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FF9F00,142,3,NA       ,0.11,0.11,0.07,0.05,0.1,0.08
573a059da0efd,31,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#008DF8,388,3,Sky-Blue ,0.3,0.3,0.31,0.28,0.31,0.31
573c783748e8b,37,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#BFBE00,656,3,NA       ,0.06,0.06,0.06,0.02,0.06,0.05
5740a8b59d448,31,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#978900,905,3,NA       ,0.06,0.06,0.05,0.02,0.06,0.05
5740b686127bb,32,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#978900,120,4,NA       ,0.06,0.06,0.05,0.02,0.06,0.05
5745b5cbe3caa,34,Female,32,no,twoColorsObj,#FF0000,#00FF00,#808000,347,2,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
574859b8f3379,30,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#BFBE00,754,4,NA       ,0.06,0.06,0.06,0.02,0.06,0.05
