id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbe10cade,twoColorsObj,#FF0000,#00FF00,#B1FF00,226,3,NA       ,0.03,0.03,0.08,0.05,0.05,0.06
5710cc5a7829c,twoColorsObj,#FF0000,#00FF00,#FF0050,574,2,NA       ,0.19,0.19,0.15,0.13,0.18,0.16
5710cd99df604,twoColorsObj,#FF0000,#00FF00,#FF8000,123,4,NA       ,0.13,0.13,0.09,0.07,0.12,0.1
5710ce6c1308c,twoColorsObj,#FF0000,#00FF00,#808000,1041,1,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5710ceb320fdf,twoColorsObj,#FF0000,#00FF00,#FFFF00,738,4,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5710cf445718e,twoColorsObj,#FF0000,#00FF00,#7f00ff,116,3,NA       ,0.35,0.35,0.36,0.32,0.36,0.36
5710d140b7c5a,twoColorsObj,#FF0000,#00FF00,#FF8080,56,3,NA       ,0.15,0.15,0.13,0.1,0.15,0.14
5710d28fec2d1,twoColorsObj,#FF0000,#00FF00,#0000FF,348,1,Navy-Blue,0.39,0.39,0.41,0.37,0.4,0.4
5710d71ff24c3,twoColorsObj,#FF0000,#00FF00,#c9ab00,111,5,NA       ,0.07,0.07,0.05,0.02,0.07,0.06
5710d9dcc23f0,twoColorsObj,#FF0000,#00FF00,#FFFF00,441,5,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5710dc0f49c60,twoColorsObj,#FF0000,#00FF00,#FFFF00,1057,5,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5710e540a9514,twoColorsObj,#FF0000,#00FF00,#FFFF00,502,4,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5710e60f69205,twoColorsObj,#FF0000,#00FF00,#808080,550,1,NA       ,0.16,0.16,0.17,0.14,0.17,0.17
5710ee3fd83e6,twoColorsObj,#FF0000,#00FF00,#008080,152,2,NA       ,0.19,0.19,0.22,0.18,0.2,0.21
57110028bc74b,twoColorsObj,#FF0000,#00FF00,#c9ab00,383,2,NA       ,0.07,0.07,0.05,0.02,0.07,0.06
571103343658b,twoColorsObj,#FF0000,#00FF00,#c9ab00,48,2,NA       ,0.07,0.07,0.05,0.02,0.07,0.06
5711106ab212a,twoColorsObj,#FF0000,#00FF00,#808000,540,2,NA       ,0.05,0.05,0.06,0.02,0.06,0.05
5711148c11035,twoColorsObj,#FF0000,#00FF00,#8080FF,0,2,NA       ,0.29,0.29,0.3,0.26,0.3,0.3
57111f6c42412,twoColorsObj,#FF0000,#00FF00,#FB0080,177,3,NA       ,0.2,0.2,0.17,0.15,0.2,0.18
57112a657ac25,twoColorsObj,#FF0000,#00FF00,#91c01d,15,3,NA       ,0.04,0.04,0.07,0.05,0.05,0.06
