id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#FF0000,#0000FF,#7f00ff,111,4,NA       
57113b7f16c4b,twoColorsObj,#FF0000,#0000FF,#800080,173,4,NA       
