id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,twoColorsObj,#FF0000,#0000FF,#FB0080,146,3,NA       ,0.16,0.16,0.09,0.03,0.15,0.07
5711231e370f2,twoColorsObj,#FF0000,#0000FF,#ca0088,491,4,NA       ,0.12,0.12,0.13,0.07,0.11,0.08
571151812791a,twoColorsObj,#FF0000,#0000FF,#c6aeff,93,3,NA       ,0.14,0.14,0.22,0.16,0.14,0.17
5713a02a13044,twoColorsObj,#FF0000,#0000FF,#8000FF,247,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
572767049ccfa,twoColorsObj,#FF0000,#0000FF,#F000FF,124,3,NA       ,0.08,0.08,0.21,0.15,0.08,0.15
572c85675a5ef,twoColorsObj,#FF0000,#0000FF,#FF0080,298,5,NA       ,0.16,0.16,0.09,0.03,0.15,0.07
5739ff85289b2,twoColorsObj,#FF0000,#0000FF,#6500FF,8,2,Navy-Blue,0.14,0.14,0.32,0.26,0.14,0.25
573a059da0efd,twoColorsObj,#FF0000,#0000FF,#33E000,104,4,Yellow   ,0.34,0.34,0.29,0.24,0.33,0.29
573c70dabcfe0,twoColorsObj,#FF0000,#0000FF,#998077,304,3,NA       ,0.19,0.19,0.18,0.12,0.19,0.16
573c783748e8b,twoColorsObj,#FF0000,#0000FF,#998077,633,3,NA       ,0.19,0.19,0.18,0.12,0.19,0.16
573e4022949b1,twoColorsObj,#FF0000,#0000FF,#B000FF,218,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
573e47c26cb8e,twoColorsObj,#FF0000,#0000FF,#00FF00,53,3,Yellow   ,0.34,0.34,0.3,0.25,0.34,0.3
573e4d0eb795b,twoColorsObj,#FF0000,#0000FF,#D9FF00,167,4,NA       ,0.3,0.3,0.23,0.18,0.29,0.24
573edae85268b,twoColorsObj,#FF0000,#0000FF,#9C0083,452,3,NA       ,0.09,0.09,0.17,0.11,0.09,0.11
5740a8b59d448,twoColorsObj,#FF0000,#0000FF,#9200FF,399,3,NA       ,0.11,0.11,0.28,0.23,0.12,0.22
5740ad339507d,twoColorsObj,#FF0000,#0000FF,#3F0091,83,3,Navy-Blue,0.13,0.13,0.31,0.26,0.14,0.24
5740b0f8e9734,twoColorsObj,#FF0000,#0000FF,#9C0083,107,5,NA       ,0.09,0.09,0.17,0.11,0.09,0.11
5740b686127bb,twoColorsObj,#FF0000,#0000FF,#00FF77,47,4,NA       ,0.3,0.3,0.28,0.22,0.29,0.27
5740bda9be3dc,twoColorsObj,#FF0000,#0000FF,#AE004F,1236,4,NA       ,0.17,0.17,0.08,0.03,0.16,0.08
5740e3f36a945,twoColorsObj,#FF0000,#0000FF,#008788,447,2,Cyan     ,0.2,0.2,0.26,0.2,0.2,0.22
574859b8f3379,twoColorsObj,#FF0000,#0000FF,#9200FF,81,4,NA       ,0.11,0.11,0.28,0.23,0.12,0.22
5756ab1701ba0,twoColorsObj,#FF0000,#0000FF,#B00084,120,4,NA       ,0.11,0.11,0.15,0.08,0.1,0.09
5756ae6897296,twoColorsObj,#FF0000,#0000FF,#998077,524,4,NA       ,0.19,0.19,0.18,0.12,0.19,0.16
5756b2d9bd658,twoColorsObj,#FF0000,#0000FF,#3F0091,245,5,Navy-Blue,0.13,0.13,0.31,0.26,0.14,0.24
5757fd2703090,twoColorsObj,#FF0000,#0000FF,#8A00FF,91,5,NA       ,0.12,0.12,0.29,0.24,0.12,0.22
5757ffca0b4b1,twoColorsObj,#FF0000,#0000FF,#430096,70,3,NA       ,0.13,0.13,0.31,0.25,0.14,0.24
57581518c2c07,twoColorsObj,#FF0000,#0000FF,#430096,67,5,NA       ,0.13,0.13,0.31,0.25,0.14,0.24
57582b17cd76a,twoColorsObj,#FF0000,#0000FF,#9B00FF,107,2,NA       ,0.11,0.11,0.28,0.22,0.11,0.21
