id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
571130c5cd6e9,24,Female,32,no,twoColorsObj,#FF0000,#0000FF,#8000FF,73,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
571130d934bda,22,Female,32,no,twoColorsObj,#FF0000,#0000FF,#8000FF,108,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
571137a34931a,27,Female,25,no,twoColorsObj,#FF0000,#0000FF,#B000FF,126,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
571138253c724,21,Male,8,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,87,4,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
57113a5534205,22,Male,31,no,twoColorsObj,#FF0000,#0000FF,#8000FF,139,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
57113b7f16c4b,22,Male,31,no,twoColorsObj,#FF0000,#0000FF,#800080,173,4,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
57113de4aed1a,21,Male,31,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,203,1,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
57113e6176346,23,Female,30,no,twoColorsObj,#FF0000,#0000FF,#808000,235,4,NA       ,0.28,0.28,0.21,0.17,0.28,0.22
571151812791a,20,Male,32,yes,twoColorsObj,#FF0000,#0000FF,#c6aeff,93,3,NA       ,0.14,0.14,0.22,0.16,0.14,0.17
5711641931da5,20,Female,32,no,twoColorsObj,#FF0000,#0000FF,#00FF00,104,5,Yellow   ,0.34,0.34,0.3,0.25,0.34,0.3
57116b9b879bf,20,Male,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,533,3,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5711760a3dfe0,21,Male,8,no,twoColorsObj,#FF0000,#0000FF,#B000FF,127,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
57119224388ef,24,Male,31,no,twoColorsObj,#FF0000,#0000FF,#800080,158,5,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
5711ace2ee7ed,24,Male,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,85,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5711cbde51bb0,24,Male,31,no,twoColorsObj,#FF0000,#0000FF,#ab00ff,126,4,NA       ,0.1,0.1,0.26,0.21,0.1,0.2
571210e10d88b,23,Male,19,no,twoColorsObj,#FF0000,#0000FF,#8000FF,351,3,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
571214121717c,22,Male,32,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,208,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5712197fbccd5,24,Female,32,no,twoColorsObj,#FF0000,#0000FF,#91c01d,146,4,NA       ,0.3,0.3,0.24,0.19,0.29,0.24
57121e2a63601,21,Male,31,no,twoColorsObj,#FF0000,#0000FF,#ca0088,78,4,NA       ,0.12,0.12,0.13,0.07,0.11,0.08
57122801e1da9,23,Male,17,no,twoColorsObj,#FF0000,#0000FF,#8000FF,51,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
57123bec83e8e,21,Male,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,263,3,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
57123e4050550,20,Female,40,no,twoColorsObj,#FF0000,#0000FF,#800080,241,3,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
57123e4050550,20,Female,40,no,twoColorsObj,#FF0000,#0000FF,#800080,194,3,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
571243bcc8142,24,Male,12,no,twoColorsObj,#FF0000,#0000FF,#FFFF00,475,4,NA       ,0.28,0.28,0.21,0.17,0.28,0.22
571247f66fb51,27,Male,32,no,twoColorsObj,#FF0000,#0000FF,#FF00FF,213,5,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
571260c120253,22,Male,32,no,twoColorsObj,#FF0000,#0000FF,#FF0050,61,3,NA       ,0.2,0.2,0.07,0.04,0.19,0.09
57127bcfaafb0,22,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,219,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5712bd55a8a13,27,Female,32,no,twoColorsObj,#FF0000,#0000FF,#ab00ff,143,3,NA       ,0.1,0.1,0.26,0.21,0.1,0.2
5712c2b021f58,22,Female,32,no,twoColorsObj,#FF0000,#0000FF,#B000FF,117,5,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
5712c57f97f25,25,Female,31,no,twoColorsObj,#FF0000,#0000FF,#800080,101,2,NA       ,0.08,0.08,0.2,0.14,0.08,0.14
5712d16eb8094,22,Male,5,no,twoColorsObj,#FF0000,#0000FF,#7f00ff,529,5,NA       ,0.12,0.12,0.3,0.24,0.13,0.23
5713923c1bbc7,24,Female,27,no,twoColorsObj,#FF0000,#0000FF,#B000FF,144,2,NA       ,0.09,0.09,0.26,0.2,0.1,0.19
