id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5712c2b021f58,22,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,123,3,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5712c57f97f25,25,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#c9b2a2,85,1,NA       ,0.21,0.31,0.21,0.31,0.17,0.01,0.02,0.06
5713923c1bbc7,24,Female,27,no,twoColorsObj,#FF0000,#00FFFF,#008080,79,3,NA       ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
5713a02a13044,24,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#7f00ff,131,2,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5713aa57bebec,24,Female,12,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,97,4,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5713dd915ca28,24,Female,20,no,twoColorsObj,#FF0000,#00FFFF,#FF0050,160,2,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5713fc80c942a,23,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,81,5,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57149713464b1,51,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,1,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
5714d563c6e52,49,Female,13,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,82,3,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
57153eb9b4bed,35,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,87,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5716e9900f6ea,58,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#8000FF,347,3,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
572baa7f9493c,20,Female,10,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,318,3,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5734d81ba001b,19,Female,3,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,144,4,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5734d89183dab,19,Female,29,no,twoColorsObj,#FF0000,#00FFFF,#808000,34,1,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
5739ff85289b2,56,Female,25,yes,twoColorsObj,#FF0000,#00FFFF,#008788,1,2,Cyan     ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
573a059da0efd,31,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#33E000,177,5,Yellow   ,0.07,0.44,0.07,0.44,0.03,0.15,0.15,0.13
573c783748e8b,37,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#00B146,66,3,NA       ,0.09,0.41,0.09,0.41,0.07,0.12,0.12,0.12
573ec4275ba17,24,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#9C0083,169,3,NA       ,0.31,0.22,0.31,0.22,0.28,0.1,0.1,0.14
5740a8b59d448,31,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#B000FF,386,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5740bda9be3dc,83,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#998077,547,5,NA       ,0.21,0.31,0.21,0.31,0.18,0,0.03,0.06
5740e3f36a945,49,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#3F0091,109,1,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.22,0.2,0.28
57427cf6bad0c,19,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,61,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
574511e99b6d9,19,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,452,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57451c3b38192,23,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,126,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745350dc1e22,19,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,130,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745500f6e643,24,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ab00ff,97,3,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
5745b5cbe3caa,34,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#FF0050,2087,2,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5756b2d9bd658,23,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#8342FF,248,1,NA       ,0.36,0.13,0.36,0.13,0.35,0.19,0.17,0.25
5776cc574bf84,45,Female,21,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,180,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
