id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57110028bc74b,48,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,289,2,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57112d8509632,45,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,236,1,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57114ae35c9ec,47,Female,11,no,twoColorsObj,#FF0000,#00FFFF,#808080,283,2,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
571154184c9bd,47,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#FF6755,9,1,NA       ,0.25,0.36,0.25,0.36,0.2,0.09,0.12,0.05
57117fe7495aa,48,Female,5,no,twoColorsObj,#FF0000,#00FFFF,#808000,128,3,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
571183866d73f,48,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,129,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
571290e28820b,43,Female,10,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,70,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5713b10383207,40,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,137,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5714d563c6e52,49,Female,13,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,82,3,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
573c70dabcfe0,49,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#00A89E,57,3,NA       ,0.2,0.29,0.2,0.29,0.19,0.08,0.06,0.14
5740ad339507d,40,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#9700FF,154,3,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
5740e3f36a945,49,Female,32,yes,twoColorsObj,#FF0000,#00FFFF,#3F0091,109,1,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.22,0.2,0.28
5776cc574bf84,45,Female,21,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,180,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
