id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name
5710cbc5f0ea4,twoColorsObj,#FF0000,#00FFFF,#8080FF,217,5,NA       
57113b7f16c4b,twoColorsObj,#FF0000,#00FFFF,#B000FF,1037,2,NA       
