id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
571254945e4d5,20,Male,3,no,twoColorsObj,#FF0000,#00FFFF,#FF0080,266,1,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
571260c120253,22,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF0080,231,3,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,346,2,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5713b10383207,40,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,137,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
57142079d871e,51,Male,8,no,twoColorsObj,#FF0000,#00FFFF,#008080,1,3,NA       ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
571534076a966,52,Male,9,no,twoColorsObj,#FF0000,#00FFFF,#91c01d,176,3,NA       ,0.12,0.42,0.12,0.42,0.07,0.11,0.12,0.08
57190633f233f,30,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,239,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
572106a31c230,24,Male,16,no,twoColorsObj,#FF0000,#00FFFF,#ff0087,106,2,NA       ,0.29,0.3,0.29,0.3,0.25,0.09,0.11,0.09
572767049ccfa,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#008788,24,3,Cyan     ,0.21,0.28,0.21,0.28,0.2,0.09,0.06,0.14
572a7874c1e2e,19,Male,6,no,twoColorsObj,#FF0000,#00FFFF,#FF8080,53,2,NA       ,0.24,0.33,0.24,0.33,0.2,0.06,0.08,0.04
572c85675a5ef,23,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#FF9F00,55,3,NA       ,0.21,0.4,0.21,0.4,0.16,0.1,0.13,0.04
5734918f46823,26,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8000FF,126,5,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
5735d3455a84c,29,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,105,4,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5736048bb110b,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,138,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
573634984323e,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#ffa6a6,795,3,NA       ,0.23,0.31,0.23,0.31,0.19,0.03,0.05,0.05
57363b3954a26,55,Male,16,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,342,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
57366c199283c,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF0050,52,3,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
5738cf3d97a58,23,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,111,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
573a0b8280839,29,Male,21,yes,twoColorsObj,#FF0000,#00FFFF,#9700FF,204,3,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
573c70dabcfe0,49,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#00A89E,57,3,NA       ,0.2,0.29,0.2,0.29,0.19,0.08,0.06,0.14
573e4022949b1,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#3F0091,372,2,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.22,0.2,0.28
573e47c26cb8e,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#8342FF,421,2,NA       ,0.36,0.13,0.36,0.13,0.35,0.19,0.17,0.25
573e4d0eb795b,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#00FF00,57,4,Yellow   ,0.06,0.44,0.06,0.44,0.03,0.15,0.16,0.14
573edae85268b,27,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#F500FF,649,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.13,0.11,0.18
5740ad339507d,40,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#9700FF,154,3,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
5740b0f8e9734,62,Male,33,yes,twoColorsObj,#FF0000,#00FFFF,#AE004F,147,4,NA       ,0.29,0.32,0.29,0.32,0.24,0.1,0.12,0.09
5740b686127bb,32,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#6500FF,141,4,Navy-Blue,0.39,0.1,0.39,0.1,0.38,0.23,0.2,0.28
574297edae49c,24,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,104,2,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5744dce84ffa5,16,Male,13,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,75,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57459c393bbd0,29,Male,31,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,186,4,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
5745f6f039dc9,15,Male,33,no,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,3,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
574859b8f3379,30,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#B000FF,463,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5756ab1701ba0,21,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#E26AA4,350,4,NA       ,0.26,0.28,0.26,0.28,0.23,0.05,0.06,0.09
5756ae6897296,21,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#F000FF,128,4,NA       ,0.33,0.18,0.33,0.18,0.3,0.13,0.12,0.18
5757fd2703090,22,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#9B00FF,92,5,NA       ,0.37,0.12,0.37,0.12,0.35,0.19,0.17,0.25
5757ffca0b4b1,24,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#8A00FF,168,3,NA       ,0.37,0.11,0.37,0.11,0.36,0.2,0.18,0.26
57581518c2c07,25,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#E361A2,180,4,NA       ,0.27,0.28,0.27,0.28,0.23,0.06,0.06,0.09
57582b17cd76a,26,Male,32,yes,twoColorsObj,#FF0000,#00FFFF,#9F0084,108,3,NA       ,0.31,0.23,0.31,0.23,0.27,0.1,0.09,0.14
