id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_givenColor,C1_name
5711231e370f2,objTwoColors,#FF0080,0,302,163,4,0.19,Pink     
571151812791a,objTwoColors,#FF0080,12,0,34,4,0.15,Red      
573a059da0efd,objTwoColors,#FF0080,8,0,323,1,0.16,Red      
573e4022949b1,objTwoColors,#FF0080,6,0,148,5,0.16,Red      
573e4d0eb795b,objTwoColors,#FF0080,0,334,96,4,0.03,Magenta  
5740a8b59d448,objTwoColors,#FF0080,7,0,22,5,0.16,Red      
5740ad339507d,objTwoColors,#FF0080,7,0,12,2,0.16,Red      
5740b0f8e9734,objTwoColors,#FF0080,329,0,78,4,0.01,Magenta  
5740e3f36a945,objTwoColors,#FF0080,4,0,3,2,0.16,Red      
5757fd2703090,objTwoColors,#FF0080,332,0,328,2,0.02,Magenta  
5757ffca0b4b1,objTwoColors,#FF0080,331,0,100,5,0.01,Magenta  
5710cc5a7829c,objTwoColors,#FF0080,335,0,130,5,0.04,Red      
5710cd9d571f2,objTwoColors,#FF0080,344,0,327,1,0.11,Red      
5710d140b7c5a,objTwoColors,#FF0080,340,0,70,3,0.08,Red      
5710d28fec2d1,objTwoColors,#FF0080,0,293,141,1,0.24,DK-Purple
5710e60f69205,objTwoColors,#FF0080,332,0,418,4,0.02,Magenta  
57110028bc74b,objTwoColors,#FF0080,0,311,203,3,0.14,Pink     
5711106ab212a,objTwoColors,#FF0080,8,0,509,4,0.16,Red      
57111f6c42412,objTwoColors,#FF0080,330,0,135,5,0,Magenta  
57112a657ac25,objTwoColors,#FF0080,327,0,66,3,0.02,Magenta  
57112da850667,objTwoColors,#FF0080,0,302,959,1,0.19,Pink     
57112ebc85ba1,objTwoColors,#FF0080,7,0,5,4,0.16,Red      
57112edad4a17,objTwoColors,#FF0080,301,0,98,3,0.2,Pink     
57112efa50be6,objTwoColors,#FF0080,3,0,548,5,0.16,Red      
57112f57403ee,objTwoColors,#FF0080,0,300,479,2,0.2,Pink     
57113ce1334e0,objTwoColors,#FF0080,8,0,36,4,0.16,Red      
57113d4d93c81,objTwoColors,#FF0080,291,0,123,3,0.25,Navy-Blue
57115317eb242,objTwoColors,#FF0080,337,0,157,4,0.06,Red      
571183866d73f,objTwoColors,#FF0080,356,0,130,5,0.15,Red      
5711ace2ee7ed,objTwoColors,#FF0080,0,5,69,5,0.16,Red      
571210e10d88b,objTwoColors,#FF0080,334,0,125,5,0.03,Magenta  
5712197fbccd5,objTwoColors,#FF0080,0,300,368,2,0.2,Pink     
57123e4050550,objTwoColors,#FF0080,344,0,193,2,0.11,Red      
571252e6d2e70,objTwoColors,#FF0080,8,0,25,5,0.16,Red      
5712649f2fada,objTwoColors,#FF0080,355,0,202,4,0.15,Red      
5712a254e00f7,objTwoColors,#FF0080,0,340,953,1,0.08,Red      
5712bd55a8a13,objTwoColors,#FF0080,329,0,119,3,0.01,Magenta  
5712c2b021f58,objTwoColors,#FF0080,331,0,370,5,0.01,Magenta  
57138ac176750,objTwoColors,#FF0080,348,0,624,4,0.13,Red      
5713b10383207,objTwoColors,#FF0080,7,0,14,4,0.16,Red      
5713dd915ca28,objTwoColors,#FF0080,0,0,0,1,0.16,Red      
5714d563c6e52,objTwoColors,#FF0080,0,357,74,4,0.16,Red      
57153eb9b4bed,objTwoColors,#FF0080,0,341,94,5,0.09,Red      
57427cf6bad0c,objTwoColors,#FF0080,7,0,5,1,0.16,Red      
57451c3b38192,objTwoColors,#FF0080,0,334,58,5,0.03,Magenta  
5745350dc1e22,objTwoColors,#FF0080,353,0,206,3,0.15,Red      
5745500f6e643,objTwoColors,#FF0080,7,0,53,5,0.16,Red      
5745f6f039dc9,objTwoColors,#FF0080,0,0,0,4,0.16,Red      
