id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
5712649f2fada,26,Male,12,no,objTwoColors,#FF0080,355,0,202,4,Red      ,Red      ,0.34,0.16,0.07,0.04,0.12,0.13,0.82,0.78,0.6,0.59
57138ac176750,21,Male,7,no,objTwoColors,#FF0080,348,0,624,4,Red      ,Red      ,0.36,0.15,0.06,0.03,0.11,0.12,0.8,0.76,0.57,0.56
5713b10383207,40,Male,32,no,objTwoColors,#FF0080,7,0,14,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5713b961c216a,647,Male,11,no,objTwoColors,#FF0080,331,334,248,5,Magenta  ,Magenta  ,0.35,0.02,0.04,0.06,0.02,0.01,0.66,0.62,0.43,0.42
5714c6c26c2f6,21,Male,11,no,objTwoColors,#FF0080,337,300,236,3,Red      ,Pink     ,0.14,0.09,0.1,0.1,0.11,0.11,0.81,0.78,0.58,0.58
571534076a966,52,Male,9,no,objTwoColors,#FF0080,359,202,210,3,Red      ,Navy-Blue,0.17,0.3,0.16,0.17,0.21,0.12,0.93,0.9,0.7,0.7
57190633f233f,30,Male,32,no,objTwoColors,#FF0080,4,178,110,3,Red      ,Blue     ,0.21,0.36,0.13,0.18,0.23,0.17,0.8,0.77,0.57,0.57
572767049ccfa,24,Male,32,yes,objTwoColors,#FF007A,338,114,2,3,Red      ,Green    ,0.53,0.22,0.04,0.18,0.23,0.21,0.61,0.58,0.38,0.38
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF0080,6,335,115,4,Red      ,Red      ,0.22,0.14,0.12,0.01,0.08,0.08,0.81,0.77,0.58,0.57
5734918f46823,26,Male,32,no,objTwoColors,#FF0080,12,142,225,3,Red      ,Green    ,0.41,0.32,0.1,0.18,0.26,0.23,0.68,0.65,0.46,0.46
5735d3455a84c,29,Male,32,no,objTwoColors,#FF0080,300,349,335,4,Pink     ,Red      ,0.66,0.04,0.18,0.06,0.06,0.06,0.46,0.42,0.31,0.32
5736048bb110b,19,Male,32,no,objTwoColors,#FF0080,331,323,375,5,Magenta  ,Magenta  ,0.26,0.02,0.06,0.08,0.07,0.05,0.68,0.64,0.45,0.44
573607add000c,38,Male,5,no,objTwoColors,#FF0080,8,308,309,3,Red      ,Pink     ,0.01,0.06,0.16,0.06,0.02,0.01,0.88,0.85,0.65,0.65
