Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.49,0.34,0.09,0.46,0.36,0.12,0.47,0.36,0.12,0.47,0.34,0.1,0.47,0.34,0.1
Online Users (Regular),0.43,0.28,0.08,0.47,0.35,0.11,0.46,0.33,0.12,0.43,0.28,0.11,0.45,0.29,0.08
Online Users (Uncalibrated),0.47,0.23,0.04,0.53,0.4,0.13,0.52,0.32,0.06,0.49,0.26,0.05,0.53,0.28,0.02
Users aged Less Than 20 Years,0.51,0.29,0.04,0.5,0.35,0.08,0.52,0.33,0.07,0.51,0.3,0.04,0.53,0.31,0.04
Users aged Between 20 and 29 Years,0.5,0.29,0.04,0.48,0.35,0.1,0.5,0.33,0.08,0.49,0.3,0.05,0.5,0.3,0.04
Users aged Between 30 and 39 Years,0.46,0.27,0.04,0.5,0.37,0.1,0.49,0.33,0.1,0.47,0.29,0.07,0.48,0.3,0.05
Users aged Between 40 and 49 Years,0.54,0.36,0.12,0.49,0.34,0.08,0.54,0.33,0.06,0.54,0.33,0.06,0.55,0.32,0.06
Users aged Between 50 and 59 Years,0.46,0.28,0.05,0.44,0.35,0.12,0.5,0.34,0.09,0.47,0.31,0.08,0.5,0.31,0.06
Users aged Above 60 Years,0.48,0.32,0.07,0.48,0.29,0.06,0.51,0.31,0.07,0.49,0.3,0.06,0.5,0.3,0.04
Female Users,0.5,0.3,0.05,0.48,0.36,0.1,0.51,0.33,0.08,0.5,0.3,0.05,0.51,0.31,0.04
Male Users,0.5,0.29,0.04,0.48,0.34,0.09,0.5,0.33,0.08,0.49,0.3,0.05,0.5,0.3,0.04
Other Gender Users,0.26,0.12,0.28,0.52,0.44,0.17,0.43,0.32,0.15,0.33,0.24,0.21,0.41,0.27,0.11
