id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#FF0080,195,7,303,5,Sky-Blue ,Red      
57113b7f16c4b,objTwoColors,#FF0080,226,350,234,5,Blue     ,Red      
