id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
5710ee9e58646,objTwoColors,#FF0080,353,254,371,2,Red      ,Blue     ,0.23,0.19,0.16,0.14,0.2,0.13,1.05,1.02,0.82,0.82
5713a02a13044,objTwoColors,#FF0080,56,338,145,3,Green    ,Red      ,0.5,0.15,0.23,0.14,0.11,0.14,0.77,0.74,0.59,0.58
572767049ccfa,objTwoColors,#FF0080,338,114,2,3,Red      ,Green    ,0.53,0.22,0.04,0.18,0.23,0.21,0.61,0.58,0.38,0.38
572c85675a5ef,objTwoColors,#FF0080,6,335,115,4,Red      ,Red      ,0.22,0.14,0.12,0.01,0.08,0.08,0.81,0.77,0.58,0.57
5739ff85289b2,objTwoColors,#FF0080,113,37,8,2,Green    ,Yellow   ,0.73,0.31,0.34,0.23,0.32,0.29,0.66,0.64,0.54,0.53
573a0b8280839,objTwoColors,#FF0080,40,52,33,3,Yellow   ,Green    ,0.51,0.22,0.17,0.2,0.21,0.21,0.54,0.5,0.34,0.33
573c70dabcfe0,objTwoColors,#FF0080,68,182,549,3,Yellow   ,Blue     ,0.51,0.4,0.26,0.26,0.31,0.27,0.79,0.76,0.62,0.63
573c783748e8b,objTwoColors,#FF0080,351,73,244,3,Red      ,Yellow   ,0.38,0.17,0.07,0.15,0.15,0.18,0.58,0.55,0.36,0.36
573e47c26cb8e,objTwoColors,#FF0080,10,42,44,2,Red      ,Yellow   ,0.33,0.15,0.09,0.11,0.12,0.14,0.62,0.59,0.4,0.39
573edae85268b,objTwoColors,#FF0080,359,320,709,4,Red      ,Pink     ,0.09,0.08,0.14,0.03,0.02,0.04,0.84,0.8,0.61,0.6
5740b686127bb,objTwoColors,#FF0080,334,298,372,3,Magenta  ,Pink     ,0.18,0.11,0.09,0.11,0.12,0.13,0.79,0.76,0.57,0.57
5740bda9be3dc,objTwoColors,#FF0080,322,331,186,5,Magenta  ,Magenta  ,0.39,0.03,0.03,0.08,0.07,0.06,0.59,0.55,0.36,0.35
574859b8f3379,objTwoColors,#FF0080,352,196,190,3,Red      ,LI-Blue  ,0.19,0.33,0.14,0.19,0.22,0.14,0.89,0.86,0.66,0.66
5756ab1701ba0,objTwoColors,#FF0080,7,300,360,3,Red      ,Pink     ,0.05,0.03,0.16,0.06,0.03,0.03,0.91,0.88,0.68,0.68
5756ae6897296,objTwoColors,#FF0080,54,300,406,4,Green    ,Pink     ,0.3,0.16,0.22,0.17,0.09,0.12,0.87,0.85,0.69,0.69
5756b2d9bd658,objTwoColors,#FF0080,44,308,197,4,Yellow   ,Pink     ,0.21,0.15,0.2,0.15,0.07,0.09,0.84,0.81,0.64,0.64
57581518c2c07,objTwoColors,#FF0080,5,43,333,4,Red      ,Yellow   ,0.32,0.15,0.08,0.11,0.12,0.14,0.63,0.58,0.4,0.38
57582b17cd76a,objTwoColors,#FF0080,10,300,94,3,Red      ,Pink     ,0.06,0.04,0.16,0.06,0.03,0.03,0.9,0.88,0.68,0.68
