id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
57113a5534205,objTwoColors,#FF0080,4,223,370,5,Red      ,Blue     ,0.21,0.24,0.18,0.15,0.21,0.11,1.04,1.01,0.81,0.81
57149713464b1,objTwoColors,#FF0080,0,0,0,1,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.61,0.59
