Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.33,0.5,0.05,0.3,0.31,0.15,0.34,0.4,0.09,0.32,0.43,0.09,0.33,0.4,0.1
Online Users (Regular),0.3,0.53,0.04,0.3,0.34,0.12,0.34,0.4,0.09,0.31,0.44,0.08,0.32,0.41,0.09
Online Users (Uncalibrated),0.46,0.39,0.21,0.4,0.38,0.14,0.44,0.37,0.19,0.42,0.36,0.21,0.44,0.35,0.21
Users aged Less Than 20 Years,0.33,0.53,0.05,0.31,0.34,0.12,0.37,0.4,0.11,0.34,0.45,0.09,0.35,0.42,0.09
Users aged Between 20 and 29 Years,0.33,0.5,0.05,0.32,0.34,0.12,0.38,0.4,0.12,0.34,0.43,0.11,0.36,0.41,0.11
Users aged Between 30 and 39 Years,0.38,0.49,0.09,0.36,0.35,0.13,0.4,0.4,0.15,0.38,0.44,0.11,0.4,0.42,0.13
Users aged Between 40 and 49 Years,0.37,0.52,0.09,0.35,0.33,0.15,0.39,0.4,0.14,0.37,0.42,0.12,0.39,0.39,0.14
Users aged Between 50 and 59 Years,0.37,0.53,0.09,0.33,0.35,0.12,0.41,0.39,0.15,0.38,0.43,0.13,0.4,0.4,0.14
Users aged Above 60 Years,0.36,0.45,0.08,0.28,0.32,0.13,0.36,0.39,0.11,0.32,0.4,0.13,0.34,0.38,0.12
Female Users,0.36,0.5,0.07,0.34,0.34,0.13,0.39,0.4,0.14,0.36,0.43,0.11,0.38,0.41,0.12
Male Users,0.33,0.5,0.04,0.32,0.34,0.12,0.37,0.4,0.12,0.34,0.43,0.1,0.36,0.41,0.1
Other Gender Users,0.29,0.56,0.06,0.25,0.31,0.15,0.33,0.42,0.09,0.3,0.49,0.04,0.3,0.47,0.03
