id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710cd99df604,objTwoColors,#00FF80,159,114,538,2,Green    ,Green    ,0.39,0.07,0.09,0.09,0.01,0.04,0.64,0.65,0.3,0.32,0.26,0.33,0.32,0.55
5710ce6c1308c,objTwoColors,#00FF80,179,59,160,5,Blue     ,Green    ,0.49,0.11,0.05,0.11,0.05,0.07,0.63,0.64,0.27,0.29,0.23,0.3,0.29,0.28
5710cf445718e,objTwoColors,#00FF80,213,57,160,3,Blue     ,Green    ,0.69,0.08,0.17,0.1,0.12,0.16,0.73,0.73,0.48,0.49,0.43,0.49,0.49,0.08
5710d140b7c5a,objTwoColors,#00FF80,105,254,607,3,Green    ,Blue     ,0.32,0.18,0.22,0.05,0.21,0.19,0.73,0.74,0.52,0.53,0.58,0.53,0.53,1.06
5710d71ff24c3,objTwoColors,#00FF80,55,192,322,4,Green    ,Sky-Blue ,0.26,0.1,0.12,0.1,0.07,0.1,0.37,0.39,0.47,0.48,0.48,0.48,0.48,0.83
5710d9dcc23f0,objTwoColors,#00FF80,198,170,76,2,Navy-Blue,Green    ,0.4,0.2,0.1,0.06,0.21,0.2,0.48,0.48,0.6,0.62,0.55,0.62,0.62,0.38
5710e60f69205,objTwoColors,#00FF80,55,201,113,4,Green    ,Navy-Blue,0.32,0.1,0.12,0.1,0.09,0.12,0.43,0.44,0.52,0.53,0.53,0.53,0.53,0.88
5710ea84d4c6f,objTwoColors,#00FF80,121,171,307,3,Green    ,Green    ,0.04,0.03,0.21,0.06,0.03,0.02,0.45,0.46,0.24,0.25,0.32,0.26,0.25,0.77
571103343658b,objTwoColors,#00FF80,147,141,627,3,NA       ,Green    ,0.27,0.04,0.14,0.08,0,0.05,0.6,0.61,0.22,0.24,0.2,0.25,0.24,0.61
5711148c11035,objTwoColors,#00FF80,175,56,264,3,Blue     ,Green    ,0.47,0.11,0.05,0.12,0.05,0.06,0.63,0.64,0.26,0.27,0.2,0.27,0.27,0.31
5711149df2d2a,objTwoColors,#00FF80,179,122,314,4,Blue     ,Green    ,0.51,0.02,0.05,0.06,0.03,0.03,0.65,0.66,0.42,0.44,0.39,0.45,0.44,0.43
57112b9e10661,objTwoColors,#00FF80,254,54,298,3,Blue     ,Green    ,0.77,0.33,0.28,0.1,0.23,0.22,0.78,0.77,0.56,0.58,0.49,0.57,0.58,0.03
57112d8509632,objTwoColors,#00FF80,207,57,125,3,Navy-Blue,Green    ,0.66,0.09,0.14,0.1,0.11,0.14,0.71,0.71,0.45,0.46,0.39,0.46,0.46,0.12
57112da850667,objTwoColors,#00FF80,59,120,165,3,Green    ,Green    ,0.37,0.09,0.12,0.17,0.06,0.09,0.52,0.52,0.28,0.3,0.32,0.31,0.3,0.66
57112e1a2bbbb,objTwoColors,#00FF80,105,213,574,1,Green    ,Blue     ,0.25,0.05,0.22,0.04,0.11,0.13,0.66,0.67,0.45,0.46,0.52,0.46,0.46,0.99
57112e639a100,objTwoColors,#00FF80,193,59,320,4,Sky-Blue ,Green    ,0.57,0.1,0.08,0.09,0.07,0.09,0.66,0.67,0.35,0.37,0.31,0.38,0.37,0.2
57112ebc85ba1,objTwoColors,#00FF80,187,52,143,5,Cyan     ,Green    ,0.54,0.11,0.07,0.12,0.07,0.09,0.66,0.65,0.34,0.35,0.26,0.34,0.35,0.26
57112f57403ee,objTwoColors,#00FF80,193,50,184,2,Sky-Blue ,Green    ,0.58,0.1,0.08,0.11,0.09,0.11,0.67,0.68,0.39,0.4,0.29,0.39,0.4,0.24
571130c5cd6e9,objTwoColors,#00FF80,59,208,106,5,Green    ,NA       ,0.34,0.08,0.13,0.09,0.1,0.14,0.49,0.49,0.55,0.56,0.55,0.56,0.56,0.93
5711348e42f02,objTwoColors,#00FF80,232,120,154,4,Blue     ,Green    ,0.78,0.16,0.27,0.05,0.19,0.18,0.79,0.8,0.69,0.72,0.67,0.73,0.72,0.15
571137a34931a,objTwoColors,#00FF80,235,153,620,4,Blue     ,Teal     ,0.67,0.26,0.27,0.07,0.31,0.25,0.68,0.68,0.7,0.72,0.66,0.73,0.72,0.16
57113d4d93c81,objTwoColors,#00FF80,189,59,224,4,Cyan     ,Green    ,0.54,0.1,0.07,0.1,0.06,0.08,0.65,0.66,0.32,0.35,0.29,0.36,0.35,0.22
57113de4aed1a,objTwoColors,#00FF80,230,92,163,2,Blue     ,Green    ,0.76,0.07,0.26,0.05,0.17,0.18,0.77,0.78,0.66,0.67,0.62,0.68,0.67,0.13
57113e3362c9f,objTwoColors,#00FF80,53,222,422,2,Green    ,Blue     ,0.45,0.07,0.12,0.1,0.16,0.19,0.54,0.55,0.64,0.65,0.64,0.65,0.65,0.99
57114ca79a200,objTwoColors,#00FF80,59,346,216,4,Green    ,Red      ,0.49,0.31,0.12,0.23,0.26,0.22,0.64,0.63,0.4,0.4,0.37,0.39,0.4,0.78
57114d8a4c057,objTwoColors,#00FF80,140,98,223,4,Green    ,Green    ,0.27,0.11,0.15,0.11,0.05,0.08,0.65,0.65,0.17,0.19,0.19,0.2,0.19,0.64
571153ca15566,objTwoColors,#00FF80,168,57,64,3,Green    ,Green    ,0.42,0.1,0.06,0.13,0.04,0.05,0.62,0.63,0.21,0.23,0.16,0.23,0.23,0.35
571154184c9bd,objTwoColors,#00FF80,214,51,102,1,Blue     ,Green    ,0.71,0.09,0.17,0.11,0.14,0.17,0.74,0.75,0.52,0.52,0.42,0.51,0.52,0.11
5711641931da5,objTwoColors,#00FF80,111,58,175,5,Green    ,Green    ,0.24,0.09,0.18,0.17,0.06,0.09,0.65,0.66,0.03,0.03,0.1,0.03,0.03,0.56
571165992a5c1,objTwoColors,#00FF80,185,149,200,3,Blue     ,Teal     ,0.44,0.1,0.06,0.04,0.1,0.1,0.56,0.57,0.45,0.47,0.42,0.47,0.47,0.39
57116b9b879bf,objTwoColors,#00FF80,85,129,335,3,DK-Green ,Green    ,0.27,0.1,0.15,0.12,0.06,0.09,0.6,0.61,0.19,0.2,0.24,0.21,0.2,0.68
5711703bd85fc,objTwoColors,#00FF80,215,63,281,3,Blue     ,Green    ,0.7,0.06,0.18,0.09,0.12,0.15,0.73,0.73,0.49,0.51,0.47,0.52,0.51,0.07
5711800f2c5f3,objTwoColors,#00FF80,198,48,117,4,Navy-Blue,Green    ,0.62,0.1,0.1,0.11,0.1,0.13,0.7,0.69,0.43,0.44,0.33,0.43,0.44,0.21
571183866d73f,objTwoColors,#00FF80,55,169,89,5,Green    ,Green    ,0.17,0.1,0.12,0.13,0.05,0.06,0.28,0.3,0.36,0.37,0.37,0.38,0.37,0.72
57119224388ef,objTwoColors,#00FF80,51,194,551,5,Green    ,Sky-Blue ,0.3,0.1,0.12,0.11,0.09,0.11,0.37,0.38,0.5,0.51,0.51,0.52,0.51,0.84
5711ace2ee7ed,objTwoColors,#00FF80,55,196,110,4,Green    ,LI-Blue  ,0.29,0.1,0.12,0.1,0.08,0.11,0.4,0.41,0.5,0.51,0.5,0.51,0.51,0.86
5711cbde51bb0,objTwoColors,#00FF80,56,186,87,3,Green    ,Cyan     ,0.23,0.11,0.12,0.11,0.06,0.08,0.35,0.35,0.44,0.45,0.45,0.45,0.45,0.8
5711f4ec96b9c,objTwoColors,#00FF80,48,12,289,1,Green    ,Red      ,0.55,0.27,0.12,0.26,0.27,0.25,0.6,0.6,0.43,0.44,0.39,0.43,0.44,0.76
571210e10d88b,objTwoColors,#00FF80,183,57,260,3,Blue     ,Green    ,0.51,0.11,0.06,0.11,0.05,0.08,0.64,0.65,0.3,0.31,0.24,0.31,0.31,0.27
571214121717c,objTwoColors,#00FF80,56,226,68,5,Green    ,Blue     ,0.45,0.06,0.13,0.1,0.17,0.2,0.57,0.57,0.65,0.66,0.64,0.66,0.66,1.01
57121540dbb98,objTwoColors,#00FF80,152,153,113,5,Teal     ,Teal     ,0.22,0.02,0.14,0.07,0.04,0.02,0.52,0.53,0.25,0.28,0.22,0.29,0.28,0.59
57122801e1da9,objTwoColors,#00FF80,59,182,151,5,Green    ,Blue     ,0.19,0.11,0.13,0.11,0.05,0.07,0.34,0.34,0.4,0.42,0.42,0.42,0.42,0.78
57123bec83e8e,objTwoColors,#00FF80,187,65,309,2,Cyan     ,Yellow   ,0.53,0.1,0.07,0.09,0.05,0.07,0.65,0.64,0.33,0.35,0.3,0.36,0.35,0.25
571247f66fb51,objTwoColors,#00FF80,172,136,995,3,Green    ,Green    ,0.44,0.03,0.06,0.05,0.06,0.03,0.62,0.62,0.38,0.39,0.34,0.4,0.39,0.47
571260c120253,objTwoColors,#00FF80,199,53,235,4,Navy-Blue,Green    ,0.62,0.1,0.1,0.1,0.09,0.12,0.69,0.69,0.42,0.42,0.33,0.41,0.42,0.19
5712649f2fada,objTwoColors,#00FF80,193,318,190,4,Sky-Blue ,Pink     ,0.58,0.44,0.09,0.12,0.34,0.25,0.67,0.68,0.65,0.66,0.57,0.66,0.66,0.5
57127bcfaafb0,objTwoColors,#00FF80,55,198,137,4,Green    ,Navy-Blue,0.3,0.1,0.12,0.1,0.09,0.11,0.41,0.42,0.51,0.52,0.51,0.52,0.52,0.87
57127cb3ab1fe,objTwoColors,#00FF80,59,181,482,3,Green    ,Blue     ,0.18,0.11,0.13,0.11,0.05,0.07,0.33,0.33,0.4,0.42,0.41,0.42,0.42,0.78
5712bd55a8a13,objTwoColors,#00FF80,59,194,166,3,Green    ,Sky-Blue ,0.26,0.1,0.13,0.09,0.07,0.1,0.41,0.41,0.46,0.48,0.48,0.49,0.48,0.84
5712c2b021f58,objTwoColors,#00FF80,175,58,94,5,Blue     ,Green    ,0.47,0.11,0.05,0.12,0.05,0.06,0.63,0.64,0.26,0.27,0.21,0.27,0.27,0.31
5712d9bc0cae3,objTwoColors,#00FF80,152,155,223,5,Teal     ,Cyan     ,0.21,0.02,0.14,0.07,0.05,0.03,0.51,0.52,0.26,0.29,0.23,0.3,0.29,0.6
5713923c1bbc7,objTwoColors,#00FF80,181,275,741,2,Blue     ,Blue     ,0.55,0.44,0.1,0.09,0.35,0.29,0.69,0.69,0.73,0.75,0.67,0.75,0.75,0.72
5713b10383207,objTwoColors,#00FF80,207,59,104,4,Navy-Blue,Green    ,0.66,0.09,0.14,0.09,0.1,0.13,0.71,0.71,0.44,0.46,0.4,0.47,0.46,0.11
5713fc80c942a,objTwoColors,#00FF80,186,59,163,5,Cyan     ,Green    ,0.53,0.1,0.06,0.1,0.06,0.08,0.65,0.65,0.31,0.33,0.27,0.34,0.33,0.24
5716e9900f6ea,objTwoColors,#00FF80,221,65,769,3,Blue     ,Yellow   ,0.73,0.05,0.21,0.08,0.14,0.17,0.75,0.75,0.53,0.55,0.49,0.56,0.55,0.05
57190633f233f,objTwoColors,#00FF80,195,65,331,4,Sky-Blue ,Yellow   ,0.58,0.09,0.09,0.08,0.07,0.09,0.67,0.66,0.38,0.4,0.35,0.41,0.4,0.2
572934019041e,objTwoColors,#00FF80,57,230,290,4,Green    ,Blue     ,0.45,0.04,0.13,0.09,0.18,0.2,0.58,0.59,0.65,0.67,0.64,0.67,0.67,1.02
572baa7f9493c,objTwoColors,#00FF80,203,61,281,3,Navy-Blue,Green    ,0.63,0.09,0.12,0.09,0.09,0.12,0.69,0.69,0.42,0.43,0.39,0.44,0.43,0.14
5734918f46823,objTwoColors,#00FF80,3,62,301,4,Red      ,Green    ,0.63,0.25,0.29,0.24,0.25,0.22,0.22,0.22,0.42,0.43,0.43,0.44,0.43,0.56
5734aa4c927a8,objTwoColors,#00FF80,193,59,505,4,Sky-Blue ,Green    ,0.57,0.1,0.08,0.09,0.07,0.09,0.66,0.67,0.35,0.37,0.31,0.38,0.37,0.2
5734d89183dab,objTwoColors,#00FF80,106,187,178,4,Green    ,Cyan     ,0.09,0.03,0.21,0.04,0.04,0.05,0.5,0.52,0.31,0.32,0.38,0.32,0.32,0.85
5734e848ad81a,objTwoColors,#00FF80,150,153,311,4,Teal     ,Teal     ,0.21,0.02,0.14,0.07,0.04,0.02,0.53,0.53,0.24,0.27,0.21,0.28,0.27,0.6
5735d3455a84c,objTwoColors,#00FF80,158,163,478,5,Cyan     ,Green    ,0.2,0.06,0.13,0.06,0.09,0.06,0.46,0.47,0.33,0.35,0.29,0.35,0.35,0.59
5736048bb110b,objTwoColors,#00FF80,157,150,174,5,Cyan     ,Teal     ,0.28,0.02,0.11,0.07,0.05,0.03,0.54,0.55,0.29,0.31,0.25,0.32,0.31,0.56
573634984323e,objTwoColors,#00FF80,181,52,278,3,Blue     ,Green    ,0.51,0.11,0.05,0.13,0.06,0.08,0.65,0.64,0.31,0.32,0.22,0.31,0.32,0.3
57363b3954a26,objTwoColors,#00FF80,187,63,241,3,Cyan     ,Green    ,0.53,0.1,0.07,0.09,0.06,0.08,0.65,0.64,0.32,0.34,0.3,0.35,0.34,0.24
573664e1a4a96,objTwoColors,#00FF80,61,177,399,2,Green    ,Blue     ,0.16,0.11,0.13,0.11,0.05,0.06,0.32,0.32,0.38,0.39,0.39,0.39,0.39,0.76
57366c199283c,objTwoColors,#00FF80,130,122,281,4,Green    ,Green    ,0.26,0.1,0.18,0.12,0.06,0.1,0.67,0.67,0.17,0.19,0.25,0.2,0.19,0.69
573678e895606,objTwoColors,#00FF80,59,237,274,5,Green    ,Blue     ,0.45,0.02,0.13,0.09,0.21,0.21,0.6,0.6,0.65,0.67,0.65,0.67,0.67,1.03
5738cf3d97a58,objTwoColors,#00FF80,56,131,232,3,Green    ,Green    ,0.37,0.09,0.12,0.17,0.06,0.09,0.49,0.49,0.3,0.31,0.32,0.32,0.31,0.66
