id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name
5710cbc5f0ea4,objTwoColors,#00FF80,70,206,261,5,Yellow   ,Navy-Blue
57113b7f16c4b,objTwoColors,#00FF80,66,178,111,4,Yellow   ,Blue     
