id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cc2b8a642,objTwoColors,#FFFF00,90,10,121,4,Green    ,Red      ,0.78,0.04,0.3,0.03,0.03,0.01
5710ce6c1308c,objTwoColors,#FFFF00,59,55,96,5,Green    ,Green    ,0.43,0.01,0.21,0.03,0.01,0.03
5710e540a9514,objTwoColors,#FFFF00,10,111,191,4,Red      ,Green    ,0.04,0,0.13,0.03,0.04,0.01
5710ee55dcd72,objTwoColors,#FFFF00,136,6,214,5,Green    ,Red      ,0.82,0.04,0.32,0.04,0.05,0.02
571103343658b,objTwoColors,#FFFF00,61,58,127,5,Green    ,Green    ,0.43,0,0.22,0.03,0.02,0.04
57112b9e10661,objTwoColors,#FFFF00,213,96,102,2,Blue     ,Green    ,0.52,0.16,0.22,0.19,0.19,0.22
57112cec29456,objTwoColors,#FFFF00,113,11,416,5,Green    ,Red      ,0.82,0.01,0.33,0.03,0.04,0.01
57112d8509632,objTwoColors,#FFFF00,56,55,87,5,Green    ,Green    ,0.42,0.02,0.2,0.03,0.01,0.03
57112da850667,objTwoColors,#FFFF00,66,59,197,5,Yellow   ,Green    ,0.43,0.01,0.23,0.03,0.03,0.05
57112ebc85ba1,objTwoColors,#FFFF00,57,54,93,1,Green    ,Green    ,0.42,0.02,0.2,0.03,0.01,0.03
571130c5cd6e9,objTwoColors,#FFFF00,56,55,352,4,Green    ,Green    ,0.42,0.02,0.2,0.03,0.01,0.03
57113163e6fb1,objTwoColors,#FFFF00,245,141,583,3,Blue     ,Green    ,0.61,0.33,0.36,0.22,0.33,0.29
571137cd27765,objTwoColors,#FFFF00,245,116,567,4,Blue     ,Green    ,0.58,0.27,0.37,0.21,0.28,0.26
57113de4aed1a,objTwoColors,#FFFF00,89,182,170,4,Green    ,Blue     ,0.67,0.15,0.31,0.14,0.15,0.17
57114ca79a200,objTwoColors,#FFFF00,352,114,318,4,Red      ,Green    ,0.04,0.03,0.15,0.04,0.03,0.02
571165992a5c1,objTwoColors,#FFFF00,57,50,452,3,Green    ,Green    ,0.44,0.02,0.2,0.03,0.01,0.02
57116b9b879bf,objTwoColors,#FFFF00,53,18,138,3,Green    ,Red      ,0.61,0.12,0.19,0.05,0.11,0.08
5711703bd85fc,objTwoColors,#FFFF00,7,96,165,2,Red      ,Green    ,0.02,0.03,0.13,0.03,0.02,0.01
5711800f2c5f3,objTwoColors,#FFFF00,46,66,427,1,Green    ,Yellow   ,0.33,0.01,0.16,0.02,0.01,0.03
57119224388ef,objTwoColors,#FFFF00,207,106,223,5,Navy-Blue,Green    ,0.5,0.16,0.19,0.19,0.18,0.21
5711ace2ee7ed,objTwoColors,#FFFF00,55,57,71,5,Green    ,Green    ,0.4,0.01,0.2,0.03,0.01,0.03
5711cbde51bb0,objTwoColors,#FFFF00,50,53,52,5,Green    ,Green    ,0.4,0.03,0.18,0.03,0.02,0.01
57121540dbb98,objTwoColors,#FFFF00,56,57,1068,5,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
5712197fbccd5,objTwoColors,#FFFF00,3,61,440,1,Red      ,Green    ,0.13,0.14,0.14,0.06,0.12,0.07
57121e2a63601,objTwoColors,#FFFF00,53,55,278,5,Green    ,Green    ,0.4,0.02,0.19,0.03,0.01,0.02
57123bec83e8e,objTwoColors,#FFFF00,1,25,712,3,Red      ,Orange   ,0.32,0.25,0.14,0.16,0.23,0.19
571247f66fb51,objTwoColors,#FFFF00,7,130,180,5,Red      ,Green    ,0.03,0.03,0.13,0.03,0.04,0.01
571260c120253,objTwoColors,#FFFF00,56,59,95,1,Green    ,Green    ,0.4,0.01,0.2,0.03,0.01,0.03
57127bcfaafb0,objTwoColors,#FFFF00,56,58,141,5,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
5712c57f97f25,objTwoColors,#FFFF00,59,59,160,4,Green    ,Green    ,0.41,0,0.21,0.03,0.02,0.04
5713923c1bbc7,objTwoColors,#FFFF00,3,38,177,5,Red      ,Yellow   ,0.24,0.21,0.14,0.12,0.19,0.15
5713b10383207,objTwoColors,#FFFF00,224,106,307,4,Blue     ,Green    ,0.55,0.19,0.3,0.21,0.22,0.24
5713fc80c942a,objTwoColors,#FFFF00,58,59,308,5,Green    ,Green    ,0.4,0,0.21,0.03,0.01,0.04
571410751e7b0,objTwoColors,#FFFF00,348,90,192,2,Red      ,Green    ,0.05,0.1,0.16,0.05,0.06,0.03
57142079d871e,objTwoColors,#FFFF00,50,129,340,4,Green    ,Green    ,0.26,0.11,0.18,0.05,0.1,0.1
5714c6c26c2f6,objTwoColors,#FFFF00,58,55,146,5,Green    ,Green    ,0.42,0.01,0.21,0.03,0.01,0.03
5716e9900f6ea,objTwoColors,#FFFF00,119,359,312,3,Green    ,Red      ,0.84,0,0.33,0.03,0.02,0.01
57190633f233f,objTwoColors,#FFFF00,8,221,276,3,Red      ,Blue     ,0.52,0.38,0.05,0.14,0.3,0.25
572106a31c230,objTwoColors,#FFFF00,27,95,377,3,Orange   ,Green    ,0.11,0.01,0.1,0.02,0.04,0.03
5734aa4c927a8,objTwoColors,#FFFF00,56,59,605,1,Green    ,Green    ,0.4,0.01,0.2,0.03,0.01,0.03
5734d89183dab,objTwoColors,#FFFF00,58,55,88,4,Green    ,Green    ,0.42,0.01,0.21,0.03,0.01,0.03
5734e848ad81a,objTwoColors,#FFFF00,57,57,125,5,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
5735d3455a84c,objTwoColors,#FFFF00,52,54,74,5,Green    ,Green    ,0.4,0.03,0.18,0.03,0.01,0.02
5736048bb110b,objTwoColors,#FFFF00,59,52,133,5,Green    ,Green    ,0.44,0.02,0.21,0.03,0.01,0.03
573634984323e,objTwoColors,#FFFF00,59,59,699,5,Green    ,Green    ,0.41,0,0.21,0.03,0.02,0.04
573664e1a4a96,objTwoColors,#FFFF00,57,57,216,1,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
57366c199283c,objTwoColors,#FFFF00,115,233,126,5,Green    ,Blue     ,0.98,0.24,0.35,0.21,0.26,0.26
5738cf3d97a58,objTwoColors,#FFFF00,3,120,272,4,Red      ,Green    ,0.02,0.01,0.14,0.03,0.03,0.01
574297edae49c,objTwoColors,#FFFF00,2,128,454,1,Red      ,Green    ,0.02,0.02,0.14,0.03,0.03,0.01
5745350dc1e22,objTwoColors,#FFFF00,57,56,316,5,Green    ,Green    ,0.42,0.01,0.2,0.03,0.01,0.03
5745b5cbe3caa,objTwoColors,#FFFF00,56,57,438,3,Green    ,Green    ,0.41,0.01,0.2,0.03,0.01,0.03
5745c1c07cc0c,objTwoColors,#FFFF00,56,59,106,5,Green    ,Green    ,0.4,0.01,0.2,0.03,0.01,0.03
5745f6f039dc9,objTwoColors,#FFFF00,69,350,40,1,Yellow   ,Red      ,0.72,0.16,0.24,0.06,0.11,0.06
